_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OudFF0bGVRMVZ4dTA,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTF9vOFRVVHl3Z2M,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2017,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuX3ZrN3F5SDJJREk,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,
YEAR,2017,,,
VERSION,PBFT,,,
ASPECT,Expenses,,,
NOTES_CONTENT,,,,
NOTES_SEVERITY,,,,
UNITS_NAME,Dollar,,,
UNITS_CODE,DOLLAR,,,
UNITS_MULTIPLIER,1,,,
TOTAL_AMOUNT,,,,
INTAKE_DATETIME,,,,
INTAKE_OPERATOR_ID,Henrik,,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Activity:NAME, Expense:NAME",,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,
_META_END_,,,,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Service And Rent,73950657
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Centralized Social Housing Waiting List,Materials & Supplies,46967
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Centralized Social Housing Waiting List,Contribution To Reserves/Reserve Funds,49855
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Centralized Social Housing Waiting List,Equipment,55966
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Centralized Social Housing Waiting List,Inter-Divisional Charges,197833
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Centralized Social Housing Waiting List,Service And Rent,1258526
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Centralized Social Housing Waiting List,Salaries And Benefits,5880628
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Centralized Social Housing Waiting List,Other Expenditures,16331959
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Equipment,1982
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Materials & Supplies,5791
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Contribution To Reserves/Reserve Funds,49982
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Service And Rent,148900
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Inter-Divisional Charges,273246
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Salaries And Benefits,1886079
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Other Expenditures,73346056
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Equipment,1982
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Materials & Supplies,5791
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Contribution To Reserves/Reserve Funds,49982
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Service And Rent,148900
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Inter-Divisional Charges,273246
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Salaries And Benefits,1886071
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Other Expenditures,136722849
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Equipment,1982
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Materials & Supplies,5791
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Contribution To Reserves/Reserve Funds,49982
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Service And Rent,148900
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Inter-Divisional Charges,306371
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Salaries And Benefits,2089040
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,Other Expenditures,397853162
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,Materials & Supplies,4141
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,Service And Rent,37889
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Engagement,Salaries And Benefits,638563
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,Equipment,500
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,Materials & Supplies,3914
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,Service And Rent,69320
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,Salaries And Benefits,1803963
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Funding Delivery,Other Expenditures,2300000
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,Materials & Supplies,8215
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,Service And Rent,36501
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Community Safety,Salaries And Benefits,1344115
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Materials & Supplies,2591
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Equipment,4610
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Inter-Divisional Charges,44927
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Service And Rent,128539
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Salaries And Benefits,1329682
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Tower & Neighbourhood Revitalization,Other Expenditures,6520243
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,Materials & Supplies,19339
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,Salaries And Benefits,1309852
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Youth Development,Service And Rent,2409234
"Social Development, Finance & Administration",CD-Community Partnership Investment Program,Investment Funding,Other Expenditures,3458068
"Social Development, Finance & Administration",CD-Community Partnership Investment Program,Partnership Funding,Other Expenditures,16124632
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,Equipment,3569
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,Materials & Supplies,7746
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,Contribution To Reserves/Reserve Funds,21008
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,Service And Rent,31677
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Management & Reporting,Salaries And Benefits,2036670
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,Materials & Supplies,103
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,Equipment,3221
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,Contribution To Reserves/Reserve Funds,12605
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,Service And Rent,15229
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Financial Planning & Coordination,Salaries And Benefits,423119
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,Materials & Supplies,2101
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,Equipment,7269
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,Contribution To Reserves/Reserve Funds,40792
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,Service And Rent,72644
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,Inter-Divisional Charges,300462
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Program Support,Salaries And Benefits,876652
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,Materials & Supplies,103
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,Inter-Divisional Charges,5700
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,Equipment,5721
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,Contribution To Reserves/Reserve Funds,12605
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,Service And Rent,17705
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Revenue & Cash Management,Salaries And Benefits,2021152
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Policy & Analysis,Equipment,286
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Policy & Analysis,Materials & Supplies,16226
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Policy & Analysis,Service And Rent,267758
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Policy & Analysis,Salaries And Benefits,2785264
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,Materials & Supplies,430
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,Service And Rent,3277
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,Equipment,9313
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,Inter-Divisional Charges,10410
"Social Development, Finance & Administration",CD-Social Policy & Planning,Social Research & Evaluation,Salaries And Benefits,715109
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Corporate Partnership Initiatives,Equipment,600
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Corporate Partnership Initiatives,Materials & Supplies,2304
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Corporate Partnership Initiatives,Service And Rent,4500
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Corporate Partnership Initiatives,Salaries And Benefits,196008
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Partnership Development,Materials & Supplies,557
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Partnership Development,Equipment,4100
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Partnership Development,Service And Rent,8250
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Partnership Development,Salaries And Benefits,359347
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,Materials & Supplies,152
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,Equipment,300
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,Service And Rent,19650
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Revenue Generation and Management,Salaries And Benefits,215933
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),Materials & Supplies,2457
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),Equipment,4295
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),Contribution To Reserves/Reserve Funds,34693
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),Service And Rent,70882
"Social Development, Finance & Administration",Corporate Leadership (DCM),Corporate Leadership (DCM),Salaries And Benefits,1358773
Solid Waste Management Services,Net Contribution,Net Contribution,Contribution To Reserves/Reserve Funds,19831311
Solid Waste Management Services,SW-City Beautification,Litter Pick-up,Equipment,8610
Solid Waste Management Services,SW-City Beautification,Litter Pick-up,Materials & Supplies,204629
Solid Waste Management Services,SW-City Beautification,Litter Pick-up,Contribution To Reserves/Reserve Funds,1410407
Solid Waste Management Services,SW-City Beautification,Litter Pick-up,Inter-Divisional Charges,1700273
Solid Waste Management Services,SW-City Beautification,Litter Pick-up,Service And Rent,2949587
Solid Waste Management Services,SW-City Beautification,Litter Pick-up,Salaries And Benefits,11138398
Solid Waste Management Services,SW-City Beautification,Parks Bin,Equipment,1999
Solid Waste Management Services,SW-City Beautification,Parks Bin,Materials & Supplies,61370
Solid Waste Management Services,SW-City Beautification,Parks Bin,Service And Rent,127953
Solid Waste Management Services,SW-City Beautification,Parks Bin,Inter-Divisional Charges,1390854
Solid Waste Management Services,SW-City Beautification,Parks Bin,Contribution To Reserves/Reserve Funds,2769702
Solid Waste Management Services,SW-City Beautification,Parks Bin,Salaries And Benefits,6977081
Solid Waste Management Services,SW-City Beautification,Special Events,Equipment,482
Solid Waste Management Services,SW-City Beautification,Special Events,Materials & Supplies,11902
Solid Waste Management Services,SW-City Beautification,Special Events,Contribution To Reserves/Reserve Funds,27387
